setup,day_of_week,horizon,n,win_rate,expectancy,profit_factor
setup_h4_bull_engulf,Mon,M12_2,69,0.6666666666666666,0.0008572128478493764,4.465527027626549
setup_h4_bull_engulf,Mon,M12_5,69,0.7246376811594203,0.0014804401954802478,7.165383142862856
setup_h4_bull_engulf,Mon,M12_10,69,0.855072463768116,0.0025425457564889203,39.6568474884732
setup_h4_bull_engulf,Mon,H1_1,69,0.7246376811594203,0.0014804401954802478,7.165383142862856
setup_h4_bull_engulf,Mon,H1_3,69,0.927536231884058,0.003305511354678937,182.85926560253665
setup_h4_bull_engulf,Tue,M12_2,73,0.5616438356164384,0.0002541394265718106,1.8178446433300057
setup_h4_bull_engulf,Tue,M12_5,73,0.6986301369863014,0.0006681004437814578,3.2564269940353996
setup_h4_bull_engulf,Tue,M12_10,73,0.863013698630137,0.0014456461304722594,7.642018191121103
setup_h4_bull_engulf,Tue,H1_1,73,0.6986301369863014,0.0006681004437814578,3.2564269940353996
setup_h4_bull_engulf,Tue,H1_3,73,0.9041095890410958,0.0026827185803793277,91.36543373608532
setup_h4_bull_engulf,Wed,M12_2,76,0.631578947368421,0.0002558996502244825,1.6907761768376983
setup_h4_bull_engulf,Wed,M12_5,76,0.618421052631579,0.0008339745759634725,3.499702016070807
setup_h4_bull_engulf,Wed,M12_10,76,0.8157894736842105,0.002023752266032545,20.095532906697823
setup_h4_bull_engulf,Wed,H1_1,76,0.618421052631579,0.0008339745759634725,3.499702016070807
setup_h4_bull_engulf,Wed,H1_3,76,0.9342105263157895,0.003213309699528779,100.05597164391811
setup_h4_bull_engulf,Thu,M12_2,70,0.6,0.000606657340226678,3.4320401686998827
setup_h4_bull_engulf,Thu,M12_5,70,0.6714285714285714,0.0013195654717069942,5.725847230560982
setup_h4_bull_engulf,Thu,M12_10,70,0.7857142857142857,0.0024471625272300683,12.387966082506813
setup_h4_bull_engulf,Thu,H1_1,70,0.6714285714285714,0.0013195654717069942,5.725847230560982
setup_h4_bull_engulf,Thu,H1_3,70,0.8714285714285714,0.002967921327556166,22.55227174557234
setup_h4_bull_engulf,Fri,M12_2,61,0.5737704918032787,0.0003829562256782978,2.350176194203535
setup_h4_bull_engulf,Fri,M12_5,61,0.7049180327868853,0.001271326030670073,7.12277468956102
setup_h4_bull_engulf,Fri,M12_10,61,0.7540983606557377,0.0020652965781802974,11.682623126646902
setup_h4_bull_engulf,Fri,H1_1,61,0.7049180327868853,0.001271326030670073,7.12277468956102
setup_h4_bull_engulf,Fri,H1_3,61,0.819672131147541,0.003070469777320756,16.711149841665026
setup_h1_bull_engulf,Mon,M12_2,260,0.8038461538461539,0.0008652398933679235,11.157904778954332
setup_h1_bull_engulf,Mon,M12_5,260,0.85,0.0015176035268468107,18.702562749848116
setup_h1_bull_engulf,Mon,M12_10,260,0.7692307692307693,0.001414538941244371,4.383086801114352
setup_h1_bull_engulf,Mon,H1_1,260,0.85,0.0015176035268468107,18.702562749848116
setup_h1_bull_engulf,Mon,H1_3,260,0.6807692307692308,0.0013227718637636742,2.6239801761620654
setup_h1_bull_engulf,Tue,M12_2,288,0.7881944444444444,0.0007497695214556352,6.640741418486844
setup_h1_bull_engulf,Tue,M12_5,288,0.8611111111111112,0.0014656201296405905,17.8790229358213
setup_h1_bull_engulf,Tue,M12_10,288,0.7604166666666666,0.0013687840916545577,4.693947828572076
setup_h1_bull_engulf,Tue,H1_1,288,0.8611111111111112,0.0014656201296405905,17.8790229358213
setup_h1_bull_engulf,Tue,H1_3,288,0.7361111111111112,0.001465012600170846,3.9088085488610353
setup_h1_bull_engulf,Wed,M12_2,287,0.7770034843205574,0.000736880384386907,8.790426030333402
setup_h1_bull_engulf,Wed,M12_5,287,0.8222996515679443,0.0014263031284319453,9.665988508889457
setup_h1_bull_engulf,Wed,M12_10,287,0.7386759581881533,0.001442478334403793,4.288696932002038
setup_h1_bull_engulf,Wed,H1_1,287,0.8222996515679443,0.0014263031284319453,9.665988508889457
setup_h1_bull_engulf,Wed,H1_3,287,0.6759581881533101,0.0014224176609426526,2.9708074898108086
setup_h1_bull_engulf,Thu,M12_2,295,0.7966101694915254,0.0008799783420090393,8.999812892526988
setup_h1_bull_engulf,Thu,M12_5,295,0.8745762711864407,0.0015573361961924435,19.289913953506723
setup_h1_bull_engulf,Thu,M12_10,295,0.735593220338983,0.0016030670600096098,6.469704551703227
setup_h1_bull_engulf,Thu,H1_1,295,0.8745762711864407,0.0015573361961924435,19.289913953506723
setup_h1_bull_engulf,Thu,H1_3,295,0.711864406779661,0.0015871926434577032,3.7611722794546685
setup_h1_bull_engulf,Fri,M12_2,284,0.7746478873239436,0.0007567071242997201,7.343034836151166
setup_h1_bull_engulf,Fri,M12_5,284,0.8380281690140845,0.0015447410140328746,11.59455398179061
setup_h1_bull_engulf,Fri,M12_10,284,0.7535211267605634,0.0016325719576588595,5.056577654850051
setup_h1_bull_engulf,Fri,H1_1,284,0.8380281690140845,0.0015447410140328746,11.59455398179061
setup_h1_bull_engulf,Fri,H1_3,284,0.6971830985915493,0.0015412880621953522,3.012347458281857
setup_d1_breakout_up,Mon,M12_2,46,0.5217391304347826,0.00037140961210799326,1.675203986212319
setup_d1_breakout_up,Mon,M12_5,46,0.4782608695652174,0.0008130120653547507,2.200046000562312
